Year,Quarter,Origin,Dest,Pax From Origin,Pax To Origin,Freight From Origin,Frieght To Origin
2024,1,HYDERABAD,ABUDHABI,50598,49458,728.17,306.34
2024,2,HYDERABAD,ABUDHABI,45160,53089,841.82,187.18
2024,1,HYDERABAD,BAHRAIN,12403,11517,150.75,2.98
2024,2,HYDERABAD,BAHRAIN,12422,14541,127.66,1.87
2024,1,HYDERABAD,BANGKOK,26156,24161,795.21,631.96
2024,2,HYDERABAD,BANGKOK,32945,32735,969.68,682.17
2024,1,HYDERABAD,COLOMBO,16392,15216,77.05,4.23
2024,2,HYDERABAD,COLOMBO,14814,15372,143.24,10.02
2024,1,HYDERABAD,DAMMAM,20343,15123,6.25,0.00
2024,2,HYDERABAD,DAMMAM,22913,23527,51.88,1.91
2024,1,HYDERABAD,DOHA,64453,60209,2646.13,1002.80
2024,2,HYDERABAD,DOHA,58527,61679,2329.95,737.24
2024,1,HYDERABAD,DUBAI,134507,117661,3887.93,632.34
2024,2,HYDERABAD,DUBAI,133104,136308,3693.62,656.41
2024,1,HYDERABAD,FRANKFURT,11614,9391,2793.60,406.42
2024,2,HYDERABAD,FRANKFURT,16462,14011,3474.36,510.73
2024,1,HYDERABAD,ISTANBUL,0,0,2862.60,462.37
2024,2,HYDERABAD,ISTANBUL,0,0,3388.43,696.30
2024,1,HYDERABAD,JEDDAH,52126,46896,797.55,22.16
2024,2,HYDERABAD,JEDDAH,26992,39423,389.87,23.30
2024,2,HYDERABAD,KABUL,0,0,21.96,0.00
2024,1,HYDERABAD,KUALALUMPUR,27796,25503,548.76,377.13
2024,2,HYDERABAD,KUALALUMPUR,30390,31190,554.85,361.22
2024,1,HYDERABAD,KUWAIT,19020,15398,119.91,7.18
2024,2,HYDERABAD,KUWAIT,18814,20820,123.91,0.98
2024,1,HYDERABAD,LONDON,17748,17560,1024.07,489.86
2024,2,HYDERABAD,LONDON,22423,19638,773.31,637.36
2024,1,HYDERABAD,MALE,2214,2380,9.74,0.00
2024,1,HYDERABAD,MUSCAT,41221,29986,441.18,14.06
2024,2,HYDERABAD,MUSCAT,33919,34646,314.29,7.59
2024,1,HYDERABAD,RAS AL-KHAIMAH,6529,4938,0.07,0.00
2024,2,HYDERABAD,RAS AL-KHAIMAH,5456,6060,0.00,0.00
2024,1,HYDERABAD,RIYADH,27240,23749,381.17,6.35
2024,2,HYDERABAD,RIYADH,17193,20738,143.21,7.63
2024,1,HYDERABAD,SHARJAH,29284,27807,241.83,0.90
2024,2,HYDERABAD,SHARJAH,26927,29773,252.41,2.98
2024,1,HYDERABAD,SINGAPORE,46160,39001,982.24,559.11
2024,2,HYDERABAD,SINGAPORE,48227,44187,794.65,511.51
